date,company,profit,country,device,quarter
2025-06-04 06:01:37.896348,Alpha,723.69,USA,Mobile,1
2025-03-19 06:01:37.896348,Beta Solutions,814.85,USA,Desktop,1
2025-08-27 06:01:37.896348,Delta Inc.,757.18,UK,Desktop,1
2025-02-10 06:01:37.896348,Gamma LLC,126.64,France,Tablet,1
2025-10-03 06:01:37.896348,Alpha,199.8,Canada,Desktop,1
2025-02-28 06:01:37.896348,Alpha,883.25,USA,Tablet,1
2024-12-17 06:01:37.896348,Beta Solutions,661.24,Germany,Desktop,0
2024-12-02 06:01:37.896348,Alpha,155.94,Germany,Desktop,0
2025-07-02 06:01:37.896348,Alpha,595.11,UK,Tablet,0
2025-11-13 06:01:37.896348,Beta Solutions,863.15,France,Tablet,1
2024-12-06 06:01:37.896348,Epsilon,874.98,Japan,Desktop,0
2025-07-23 06:01:37.896348,Epsilon,531.64,Japan,Tablet,0
2025-09-10 06:01:37.896348,Gamma LLC,216.5,Canada,Mobile,0
2025-06-17 06:01:37.896348,Gamma LLC,623.94,UK,Desktop,1
2025-06-07 06:01:37.896348,Alpha,122.81,Germany,Tablet,1
2025-05-24 06:01:37.896348,Epsilon,773.77,Japan,Desktop,0
2025-09-10 06:01:37.896348,Beta Solutions,427.29,France,Tablet,0
2025-06-28 06:01:37.896348,Delta Inc.,755.39,Canada,Desktop,0
2025-03-28 06:01:37.896348,Delta Inc.,566.87,Canada,Tablet,1
2025-02-19 06:01:37.896348,Alpha,327.98,UK,Desktop,0
2025-09-22 06:01:37.896348,Delta Inc.,971.73,France,Desktop,1
2025-10-28 06:01:37.896348,Epsilon,568.58,France,Desktop,1
2025-05-02 06:01:37.896348,Epsilon,374.76,USA,Tablet,1
2025-03-30 06:01:37.896348,Alpha,121.59,Germany,Mobile,1
2025-01-17 06:01:37.896348,Epsilon,639.75,Japan,Mobile,0
2025-04-20 06:01:37.896348,Gamma LLC,258.12,USA,Tablet,1
2025-08-08 06:01:37.896348,Epsilon,584.43,USA,Tablet,1
2025-05-20 06:01:37.896348,Delta Inc.,294.98,Japan,Desktop,0
2025-02-09 06:01:37.896348,Beta Solutions,388.91,Japan,Desktop,1
2025-11-17 06:01:37.896348,Delta Inc.,534.79,Japan,Desktop,1
2025-04-10 06:01:37.896348,Alpha,203.98,Germany,Tablet,0
2025-08-14 06:01:37.896348,Alpha,901.89,USA,Desktop,1
2025-10-02 06:01:37.896348,Epsilon,519.27,Japan,Mobile,0
2025-09-02 06:01:37.896348,Gamma LLC,487.4,Canada,Tablet,0
2025-07-22 06:01:37.896348,Epsilon,702.13,Germany,Mobile,0
2025-04-03 06:01:37.896348,Alpha,440.37,Japan,Desktop,0
2025-04-29 06:01:37.896348,Alpha,559.78,USA,Mobile,0
2025-08-04 06:01:37.896348,Delta Inc.,518.11,France,Tablet,0
2025-08-25 06:01:37.896348,Delta Inc.,580.65,France,Tablet,1
2025-07-20 06:01:37.896348,Alpha,497.95,Germany,Desktop,0
2025-09-23 06:01:37.896348,Delta Inc.,51.19,UK,Desktop,1
2025-03-23 06:01:37.896348,Epsilon,38.71,Japan,Mobile,1
2024-12-31 06:01:37.896348,Epsilon,747.02,Japan,Desktop,0
2025-06-15 06:01:37.896348,Alpha,557.3,UK,Tablet,1
2024-12-21 06:01:37.896348,Alpha,872.81,USA,Mobile,1
2025-01-20 06:01:37.896348,Epsilon,244.74,Canada,Tablet,0
2025-01-03 06:01:37.896348,Delta Inc.,79.35,USA,Desktop,1
2025-03-16 06:01:37.896348,Epsilon,161.95,Japan,Mobile,1
2025-10-04 06:01:37.896348,Gamma LLC,642.73,USA,Tablet,0
2025-04-30 06:01:37.896348,Gamma LLC,736.39,USA,Tablet,0
2025-05-18 06:01:37.896348,Epsilon,507.11,Canada,Mobile,1
2025-11-15 06:01:37.896348,Beta Solutions,781.5,Canada,Tablet,0
2025-02-01 06:01:37.896348,Delta Inc.,228.97,Germany,Mobile,1
2025-01-30 06:01:37.896348,Alpha,877.18,UK,Desktop,1
2025-05-01 06:01:37.896348,Beta Solutions,417.02,UK,Mobile,1
2025-05-14 06:01:37.896348,Epsilon,411.68,USA,Desktop,0
2025-04-24 06:01:37.896348,Gamma LLC,625.97,USA,Desktop,0
2025-07-08 06:01:37.896348,Epsilon,899.03,UK,Tablet,0
2024-12-13 06:01:37.896348,Gamma LLC,511.71,UK,Desktop,1
2025-07-03 06:01:37.896348,Alpha,759.67,USA,Desktop,1
2025-11-01 06:01:37.896348,Gamma LLC,32.82,Canada,Mobile,1
2025-05-19 06:01:37.896348,Beta Solutions,49.94,Germany,Tablet,1
2025-06-09 06:01:37.896348,Epsilon,574.23,Japan,Desktop,1
2025-01-22 06:01:37.896348,Beta Solutions,967.35,Canada,Tablet,1
2025-07-02 06:01:37.896348,Beta Solutions,663.27,Canada,Mobile,0
2025-01-27 06:01:37.896348,Beta Solutions,203.79,UK,Mobile,1
2025-07-03 06:01:37.896348,Epsilon,133.06,France,Tablet,0
2025-02-27 06:01:37.896348,Gamma LLC,208.56,France,Tablet,1
2025-10-06 06:01:37.896348,Gamma LLC,208.84,UK,Desktop,1
2025-09-21 06:01:37.896348,Epsilon,228.75,UK,Mobile,0
2025-10-14 06:01:37.896348,Epsilon,472.26,Japan,Tablet,1
2024-12-08 06:01:37.896348,Epsilon,629.97,Germany,Mobile,1
2025-02-12 06:01:37.896348,Beta Solutions,877.0,USA,Mobile,0
2025-03-25 06:01:37.896348,Epsilon,873.82,UK,Desktop,0
2025-03-12 06:01:37.896348,Delta Inc.,812.77,Japan,Mobile,0
2025-06-02 06:01:37.896348,Alpha,435.34,France,Desktop,1
2024-12-16 06:01:37.896348,Alpha,328.88,USA,Tablet,0
2025-01-15 06:01:37.896348,Beta Solutions,224.52,Japan,Mobile,0
2025-11-17 06:01:37.896348,Gamma LLC,759.34,USA,Desktop,0
2025-08-29 06:01:37.896348,Beta Solutions,145.58,USA,Desktop,0
2025-01-13 06:01:37.896348,Gamma LLC,254.35,Japan,Mobile,1
2025-06-03 06:01:37.896348,Beta Solutions,820.65,Germany,Mobile,0
2024-11-23 06:01:37.896348,Beta Solutions,984.03,France,Mobile,1
2025-02-13 06:01:37.896348,Beta Solutions,378.95,Japan,Mobile,0
2025-07-14 06:01:37.896348,Gamma LLC,996.73,USA,Desktop,1
2024-12-13 06:01:37.896348,Gamma LLC,518.04,Germany,Mobile,0
2025-03-05 06:01:37.896348,Alpha,85.59,Canada,Tablet,1
2025-03-29 06:01:37.896348,Delta Inc.,549.77,France,Desktop,1
2025-08-20 06:01:37.896348,Delta Inc.,459.95,France,Tablet,1
2024-12-11 06:01:37.896348,Beta Solutions,989.35,USA,Mobile,1
2025-01-14 06:01:37.896348,Alpha,319.94,Japan,Mobile,1
2025-09-04 06:01:37.896348,Delta Inc.,980.25,Canada,Tablet,1
2025-08-27 06:01:37.896348,Delta Inc.,392.45,Japan,Desktop,1
2025-09-13 06:01:37.896348,Beta Solutions,63.11,Germany,Tablet,0
2024-11-28 06:01:37.896348,Gamma LLC,944.53,Canada,Desktop,1
2024-12-05 06:01:37.896348,Beta Solutions,453.29,USA,Desktop,0
2025-09-30 06:01:37.896348,Epsilon,338.51,Japan,Desktop,1
2025-08-28 06:01:37.896348,Beta Solutions,983.39,Canada,Mobile,1
2025-01-31 06:01:37.896348,Beta Solutions,321.1,France,Desktop,1
2025-06-03 06:01:37.896348,Beta Solutions,655.72,France,Tablet,0
2025-07-26 06:01:37.896348,Delta Inc.,652.51,France,Tablet,0
2025-11-16 06:01:37.896348,Delta Inc.,573.99,France,Mobile,0
2025-10-19 06:01:37.896348,Epsilon,995.0,Germany,Mobile,0
2025-09-11 06:01:37.896348,Delta Inc.,785.22,Canada,Mobile,0
2025-07-05 06:01:37.896348,Beta Solutions,391.39,Canada,Tablet,0
2025-09-04 06:01:37.896348,Gamma LLC,337.86,Canada,Tablet,0
2025-11-07 06:01:37.896348,Epsilon,777.78,France,Mobile,1
2025-05-16 06:01:37.896348,Gamma LLC,126.46,Japan,Desktop,0
2025-03-11 06:01:37.896348,Beta Solutions,426.15,Canada,Tablet,1
2025-07-30 06:01:37.896348,Beta Solutions,687.72,Canada,Desktop,1
2024-12-02 06:01:37.896348,Alpha,48.81,France,Mobile,1
2025-10-23 06:01:37.896348,Alpha,93.48,Germany,Mobile,0
2025-07-02 06:01:37.896348,Delta Inc.,298.73,France,Mobile,1
2025-06-30 06:01:37.896348,Gamma LLC,74.76,Japan,Tablet,0
2024-12-25 06:01:37.896348,Epsilon,895.75,USA,Mobile,0
2025-10-23 06:01:37.896348,Beta Solutions,692.04,UK,Tablet,1
2025-09-29 06:01:37.896348,Delta Inc.,994.45,USA,Desktop,1
2025-02-09 06:01:37.896348,Gamma LLC,750.98,France,Tablet,0
2025-11-11 06:01:37.896348,Gamma LLC,720.01,Japan,Mobile,0
2025-04-20 06:01:37.896348,Epsilon,438.0,USA,Tablet,0
2025-05-30 06:01:37.896348,Gamma LLC,311.58,Canada,Tablet,1
2025-10-03 06:01:37.896348,Alpha,181.99,USA,Mobile,1
2025-09-11 06:01:37.896348,Epsilon,526.89,France,Desktop,0
2025-03-27 06:01:37.896348,Alpha,771.07,France,Mobile,1
2025-09-26 06:01:37.896348,Alpha,13.7,Germany,Mobile,1
2025-11-03 06:01:37.896348,Alpha,918.86,UK,Tablet,1
2025-09-29 06:01:37.896348,Delta Inc.,488.62,Germany,Tablet,1
2025-06-20 06:01:37.896348,Delta Inc.,274.81,USA,Tablet,1
2025-03-16 06:01:37.896348,Beta Solutions,863.35,Japan,Desktop,1
2024-12-22 06:01:37.896348,Beta Solutions,343.69,USA,Desktop,1
2025-09-23 06:01:37.896348,Delta Inc.,845.56,Japan,Tablet,1
2025-11-09 06:01:37.896348,Alpha,976.72,Germany,Tablet,1
2025-04-01 06:01:37.896348,Alpha,727.53,Canada,Tablet,1
2025-06-09 06:01:37.896348,Epsilon,377.6,Canada,Desktop,0
2025-07-13 06:01:37.896348,Epsilon,949.83,USA,Tablet,0
2025-06-04 06:01:37.896348,Gamma LLC,674.32,USA,Desktop,0
2025-07-21 06:01:37.896348,Delta Inc.,168.07,Germany,Tablet,0
2025-09-20 06:01:37.896348,Epsilon,761.65,USA,Tablet,1
2024-11-28 06:01:37.896348,Gamma LLC,182.57,Canada,Mobile,0
2025-04-22 06:01:37.896348,Alpha,849.17,France,Desktop,0
2025-06-30 06:01:37.896348,Delta Inc.,630.26,UK,Desktop,0
2025-05-22 06:01:37.896348,Epsilon,819.36,Germany,Mobile,0
2025-02-23 06:01:37.896348,Beta Solutions,552.47,Germany,Mobile,1
2025-05-21 06:01:37.896348,Gamma LLC,908.81,UK,Mobile,0
2024-11-24 06:01:37.896348,Alpha,917.09,Canada,Desktop,0
2025-05-03 06:01:37.896348,Epsilon,717.04,USA,Tablet,1
2025-11-10 06:01:37.896348,Alpha,211.87,France,Tablet,1
2025-09-16 06:01:37.896348,Alpha,747.49,UK,Desktop,0
2024-12-02 06:01:37.896348,Alpha,503.54,Japan,Desktop,0
2025-02-09 06:01:37.896348,Alpha,390.43,Germany,Mobile,0
2025-06-15 06:01:37.896348,Epsilon,124.64,Canada,Mobile,1
2024-12-18 06:01:37.896348,Beta Solutions,745.1,France,Desktop,0
2025-04-20 06:01:37.896348,Delta Inc.,420.15,UK,Tablet,0
2025-06-22 06:01:37.896348,Epsilon,498.12,Canada,Desktop,1
2025-11-14 06:01:37.896348,Delta Inc.,91.02,Canada,Desktop,0
2024-11-24 06:01:37.896348,Epsilon,730.54,UK,Tablet,1
2025-03-06 06:01:37.896348,Beta Solutions,459.04,Japan,Mobile,0
2025-09-11 06:01:37.896348,Alpha,820.01,USA,Tablet,0
2025-08-02 06:01:37.896348,Delta Inc.,824.02,Canada,Mobile,0
2025-05-17 06:01:37.896348,Beta Solutions,828.69,Japan,Tablet,1
2025-02-16 06:01:37.896348,Beta Solutions,436.2,Germany,Tablet,0
2025-02-11 06:01:37.896348,Beta Solutions,881.69,UK,Tablet,1
2025-03-28 06:01:37.896348,Alpha,62.46,Japan,Tablet,1
2025-01-17 06:01:37.896348,Gamma LLC,696.28,France,Desktop,0
2025-03-21 06:01:37.896348,Delta Inc.,793.36,UK,Desktop,0
2025-11-17 06:01:37.896348,Epsilon,510.24,USA,Tablet,0
2025-03-14 06:01:37.896348,Gamma LLC,334.41,Canada,Desktop,0
2025-08-15 06:01:37.896348,Alpha,512.58,France,Mobile,0
2025-04-24 06:01:37.896348,Alpha,225.08,France,Mobile,1
2025-09-25 06:01:37.896348,Gamma LLC,920.56,Japan,Tablet,1
2025-08-07 06:01:37.896348,Gamma LLC,626.59,France,Tablet,1
2025-05-25 06:01:37.896348,Epsilon,556.97,Canada,Tablet,0
2025-01-15 06:01:37.896348,Gamma LLC,524.07,Germany,Mobile,1
2025-07-01 06:01:37.896348,Beta Solutions,796.17,UK,Mobile,0
2025-04-05 06:01:37.896348,Beta Solutions,771.57,USA,Mobile,0
2025-06-05 06:01:37.896348,Gamma LLC,275.26,UK,Mobile,0
2024-12-10 06:01:37.896348,Epsilon,586.15,USA,Desktop,0
2025-05-03 06:01:37.896348,Gamma LLC,150.27,Japan,Desktop,1
2025-03-13 06:01:37.896348,Gamma LLC,443.45,France,Desktop,1
2025-04-26 06:01:37.896348,Alpha,893.09,UK,Desktop,1
2024-12-18 06:01:37.896348,Delta Inc.,524.2,Canada,Mobile,0
2025-10-25 06:01:37.896348,Beta Solutions,169.67,UK,Desktop,0
2025-11-04 06:01:37.896348,Gamma LLC,267.94,UK,Tablet,0
2025-02-21 06:01:37.896348,Gamma LLC,223.68,Japan,Mobile,1
2025-02-27 06:01:37.896348,Beta Solutions,514.52,France,Desktop,1
2025-01-23 06:01:37.896348,Epsilon,32.07,France,Tablet,1
2025-11-13 06:01:37.896348,Alpha,932.64,Canada,Tablet,0
2024-12-08 06:01:37.896348,Alpha,264.45,USA,Mobile,0
2025-05-04 06:01:37.896348,Alpha,284.99,Japan,Tablet,0
2025-03-12 06:01:37.896348,Epsilon,827.5,USA,Desktop,1
2025-05-15 06:01:37.896348,Beta Solutions,869.18,UK,Mobile,1
2025-10-25 06:01:37.896348,Alpha,145.78,France,Tablet,0
2025-10-19 06:01:37.896348,Gamma LLC,319.01,Japan,Mobile,0
2025-02-20 06:01:37.896348,Gamma LLC,242.1,France,Desktop,0
2025-10-13 06:01:37.896348,Epsilon,86.69,Canada,Tablet,1
2025-10-16 06:01:37.896348,Beta Solutions,188.95,France,Desktop,0
2025-11-07 06:01:37.896348,Epsilon,987.78,Canada,Mobile,0
2025-04-14 06:01:37.896348,Alpha,273.77,USA,Tablet,1
2025-06-20 06:01:37.896348,Delta Inc.,206.0,UK,Tablet,0
2025-09-09 06:01:37.896348,Epsilon,498.23,France,Tablet,1
2024-11-30 06:01:37.896348,Delta Inc.,363.59,Japan,Tablet,0
2024-12-06 06:01:37.896348,Delta Inc.,21.37,USA,Desktop,0
2025-01-08 06:01:37.896348,Beta Solutions,129.87,Germany,Desktop,0
2025-05-23 06:01:37.896348,Gamma LLC,803.17,Japan,Tablet,1
2025-02-27 06:01:37.896348,Epsilon,387.61,France,Tablet,0
2025-04-03 06:01:37.896348,Epsilon,676.42,USA,Mobile,1
2025-01-19 06:01:37.896348,Gamma LLC,805.49,Japan,Mobile,1
2024-12-12 06:01:37.896348,Alpha,901.1,France,Desktop,1
2025-08-24 06:01:37.896348,Gamma LLC,574.01,France,Mobile,0
2025-01-09 06:01:37.896348,Delta Inc.,15.9,France,Mobile,1
2025-07-28 06:01:37.896348,Beta Solutions,50.19,Japan,Mobile,1
2025-05-08 06:01:37.896348,Epsilon,106.46,Japan,Mobile,1
2024-12-13 06:01:37.896348,Gamma LLC,930.0,UK,Tablet,0
2025-06-12 06:01:37.896348,Beta Solutions,585.85,Canada,Mobile,1
2025-02-18 06:01:37.896348,Epsilon,718.91,USA,Tablet,1
2024-12-07 06:01:37.896348,Alpha,338.85,Japan,Mobile,1
2025-03-13 06:01:37.896348,Delta Inc.,744.74,USA,Tablet,0
2025-08-12 06:01:37.896348,Alpha,165.11,France,Mobile,1
2025-04-02 06:01:37.896348,Delta Inc.,815.79,USA,Desktop,1
2025-10-21 06:01:37.896348,Gamma LLC,968.75,Germany,Tablet,1
2025-05-19 06:01:37.896348,Alpha,281.9,Germany,Tablet,0
2025-11-09 06:01:37.896348,Gamma LLC,581.34,France,Mobile,0
2025-04-29 06:01:37.896348,Delta Inc.,151.57,Japan,Desktop,0
2024-12-02 06:01:37.896348,Gamma LLC,955.31,France,Tablet,1
2025-02-11 06:01:37.896348,Epsilon,209.87,USA,Tablet,0
2025-01-09 06:01:37.896348,Beta Solutions,139.24,Germany,Desktop,1
2025-03-28 06:01:37.896348,Beta Solutions,918.59,Japan,Tablet,1
2025-08-21 06:01:37.896348,Alpha,930.28,Germany,Mobile,0
2025-03-22 06:01:37.896348,Epsilon,866.29,USA,Desktop,0
2025-07-08 06:01:37.896348,Gamma LLC,500.52,Germany,Desktop,1
2025-02-27 06:01:37.896348,Delta Inc.,890.06,UK,Desktop,1
2025-03-27 06:01:37.896348,Delta Inc.,969.02,Japan,Desktop,0
2025-08-10 06:01:37.896348,Alpha,355.04,France,Tablet,0
2025-08-12 06:01:37.896348,Gamma LLC,437.95,USA,Mobile,0
2025-04-14 06:01:37.896348,Alpha,99.6,France,Tablet,1
2025-01-16 06:01:37.896348,Delta Inc.,219.48,France,Tablet,1
2024-11-23 06:01:37.896348,Alpha,888.86,Canada,Mobile,0
2025-01-09 06:01:37.896348,Delta Inc.,701.95,USA,Tablet,1
2025-03-24 06:01:37.896348,Epsilon,244.81,Canada,Mobile,1
2025-05-11 06:01:37.896348,Gamma LLC,186.57,Canada,Mobile,0
2025-08-06 06:01:37.896348,Epsilon,591.41,Canada,Desktop,1
2025-10-12 06:01:37.896348,Epsilon,307.37,France,Desktop,1
2025-04-23 06:01:37.896348,Beta Solutions,664.3,USA,Desktop,0
2025-04-28 06:01:37.896348,Beta Solutions,756.61,Canada,Tablet,1
2025-06-08 06:01:37.896348,Alpha,61.24,USA,Mobile,1
2024-12-23 06:01:37.896348,Epsilon,936.21,Japan,Tablet,1
2025-08-03 06:01:37.896348,Alpha,636.78,UK,Desktop,0
2025-06-04 06:01:37.896348,Gamma LLC,426.57,USA,Mobile,1
2025-06-20 06:01:37.896348,Delta Inc.,223.67,USA,Tablet,0
2025-06-11 06:01:37.896348,Gamma LLC,509.96,Japan,Tablet,1
2025-09-20 06:01:37.896348,Beta Solutions,318.4,France,Tablet,1
2025-08-06 06:01:37.896348,Beta Solutions,928.66,Germany,Mobile,0
2025-09-15 06:01:37.896348,Delta Inc.,900.12,USA,Tablet,1
2025-03-10 06:01:37.896348,Beta Solutions,366.38,Germany,Desktop,0
2025-07-10 06:01:37.896348,Gamma LLC,68.14,USA,Desktop,0
2025-02-17 06:01:37.896348,Gamma LLC,419.53,UK,Tablet,0
2025-08-19 06:01:37.896348,Delta Inc.,137.12,UK,Tablet,0
2025-01-14 06:01:37.896348,Epsilon,660.37,France,Tablet,0
2025-01-31 06:01:37.896348,Beta Solutions,159.59,France,Mobile,1
2024-12-23 06:01:37.896348,Gamma LLC,901.15,Japan,Desktop,1
2025-07-27 06:01:37.896348,Beta Solutions,58.92,UK,Mobile,1
2025-02-24 06:01:37.896348,Alpha,292.34,Japan,Tablet,0
2025-03-07 06:01:37.896348,Epsilon,210.01,Japan,Tablet,1
2025-05-03 06:01:37.896348,Beta Solutions,393.58,UK,Tablet,1
2025-05-07 06:01:37.896348,Gamma LLC,836.07,Germany,Mobile,0
2025-06-07 06:01:37.896348,Alpha,627.27,Germany,Mobile,0
2025-10-05 06:01:37.896348,Beta Solutions,394.24,Germany,Mobile,0
2025-04-25 06:01:37.896348,Delta Inc.,757.09,Japan,Tablet,1
2024-12-17 06:01:37.896348,Delta Inc.,677.1,USA,Mobile,1
2025-04-14 06:01:37.896348,Epsilon,643.5,USA,Desktop,1
2025-10-16 06:01:37.896348,Gamma LLC,879.39,Germany,Desktop,0
2025-04-10 06:01:37.896348,Beta Solutions,913.0,Canada,Desktop,0
2025-05-16 06:01:37.896348,Gamma LLC,332.25,Japan,Tablet,1
2025-08-12 06:01:37.896348,Beta Solutions,271.29,USA,Tablet,0
2025-06-26 06:01:37.896348,Beta Solutions,634.06,Germany,Desktop,0
2025-08-19 06:01:37.896348,Beta Solutions,436.01,USA,Tablet,0
2025-06-27 06:01:37.896348,Gamma LLC,652.84,Canada,Mobile,1
2025-02-20 06:01:37.896348,Delta Inc.,142.24,Germany,Mobile,1
2025-02-14 06:01:37.896348,Delta Inc.,609.15,Japan,Tablet,0
2024-12-29 06:01:37.896348,Alpha,228.81,France,Tablet,0
2024-12-03 06:01:37.896348,Delta Inc.,576.06,UK,Desktop,0
2025-11-06 06:01:37.896348,Gamma LLC,956.56,Canada,Tablet,1
2025-10-30 06:01:37.896348,Gamma LLC,471.42,France,Desktop,0
2025-07-05 06:01:37.896348,Gamma LLC,963.59,Germany,Desktop,1
2024-12-15 06:01:37.896348,Beta Solutions,954.03,Japan,Desktop,1
2025-02-02 06:01:37.896348,Epsilon,371.49,Germany,Mobile,1
2025-07-18 06:01:37.896348,Alpha,308.83,USA,Mobile,1
2025-05-16 06:01:37.896348,Alpha,851.75,UK,Desktop,0
2025-05-11 06:01:37.896348,Beta Solutions,402.08,Germany,Desktop,0
2025-03-02 06:01:37.896348,Epsilon,365.84,UK,Desktop,1
2025-08-26 06:01:37.896348,Alpha,597.0,France,Tablet,1
2025-01-01 06:01:37.896348,Delta Inc.,657.82,UK,Desktop,1
2025-06-18 06:01:37.896348,Epsilon,792.99,UK,Tablet,0
2024-11-23 06:01:37.896348,Epsilon,710.97,Japan,Tablet,1
2025-06-03 06:01:37.896348,Epsilon,231.01,UK,Desktop,1
2025-04-09 06:01:37.896348,Epsilon,349.79,France,Desktop,0
2025-11-07 06:01:37.896348,Epsilon,63.34,Germany,Desktop,0
2025-07-11 06:01:37.896348,Alpha,156.51,USA,Tablet,0
2024-12-29 06:01:37.896348,Gamma LLC,879.54,Japan,Mobile,1
2025-10-26 06:01:37.896348,Epsilon,669.09,UK,Desktop,1
2025-04-29 06:01:37.896348,Alpha,641.86,France,Desktop,1
2025-04-07 06:01:37.896348,Delta Inc.,222.77,France,Tablet,0
2025-03-22 06:01:37.896348,Beta Solutions,575.31,Japan,Tablet,0
2025-03-22 06:01:37.896348,Alpha,155.84,UK,Tablet,0
2025-07-12 06:01:37.896348,Gamma LLC,593.97,Canada,Tablet,1
2025-01-02 06:01:37.896348,Alpha,710.05,USA,Desktop,0
2025-05-14 06:01:37.896348,Delta Inc.,176.68,UK,Mobile,0
2025-07-11 06:01:37.896348,Gamma LLC,695.09,France,Tablet,1
2025-11-13 06:01:37.896348,Gamma LLC,632.02,Japan,Desktop,0
2025-10-13 06:01:37.896348,Beta Solutions,453.43,UK,Mobile,1
2024-12-14 06:01:37.896348,Delta Inc.,413.59,USA,Mobile,0
2025-03-26 06:01:37.896348,Epsilon,220.53,Germany,Mobile,0
2025-09-25 06:01:37.896348,Beta Solutions,387.13,France,Tablet,1
2025-11-10 06:01:37.896348,Delta Inc.,549.22,UK,Mobile,0
2025-01-09 06:01:37.896348,Alpha,599.44,Canada,Mobile,1
2025-02-20 06:01:37.896348,Gamma LLC,139.1,France,Mobile,1
2025-06-28 06:01:37.896348,Alpha,251.33,USA,Mobile,1
2025-01-31 06:01:37.896348,Alpha,865.23,France,Tablet,1
2025-07-03 06:01:37.896348,Beta Solutions,451.56,USA,Tablet,0
2025-04-11 06:01:37.896348,Gamma LLC,687.53,UK,Desktop,0
2025-09-26 06:01:37.896348,Delta Inc.,317.02,Canada,Mobile,0
2025-10-27 06:01:37.896348,Beta Solutions,676.12,Canada,Mobile,0
2025-02-07 06:01:37.896348,Delta Inc.,817.32,Germany,Tablet,1
2024-12-11 06:01:37.896348,Beta Solutions,550.09,Canada,Mobile,1
2025-04-03 06:01:37.896348,Gamma LLC,487.29,Canada,Tablet,0
2025-07-29 06:01:37.896348,Beta Solutions,462.4,UK,Mobile,1
2025-10-19 06:01:37.896348,Epsilon,619.51,USA,Tablet,1
2025-06-12 06:01:37.896348,Gamma LLC,158.38,USA,Tablet,0
2025-11-06 06:01:37.896348,Gamma LLC,272.14,Germany,Desktop,1
2025-02-14 06:01:37.896348,Delta Inc.,141.05,France,Mobile,1
2025-10-18 06:01:37.896348,Gamma LLC,234.38,France,Tablet,1
2025-01-11 06:01:37.896348,Alpha,523.88,Canada,Mobile,1
2025-05-24 06:01:37.896348,Epsilon,700.16,Japan,Desktop,1
