user,mercheant,amount,country,device,label
10103,AutoParts,166.72,Brazil,Mobile,1
10104,TechWorld,407.8,Canada,Tablet,0
10105,AutoParts,85.26,Germany,Desktop,0
10106,FashionGo,271.7,Australia,Tablet,1
10107,GourmetEats,373.11,Canada,Desktop,1
10108,AutoParts,486.02,UK,Mobile,1
10109,TechWorld,159.98,Canada,Mobile,0
10110,BookHive,16.59,Canada,Tablet,0
10111,AutoParts,151.22,Germany,Tablet,1
10112,TechWorld,475.37,Australia,Tablet,1
10113,BookHive,372.36,UK,Desktop,1
10114,TechWorld,188.55,Canada,Desktop,1
10115,GourmetEats,244.18,Germany,Mobile,0
10116,GourmetEats,317.4,Australia,Mobile,0
10117,GourmetEats,68.89,Australia,Desktop,1
10118,BookHive,415.77,Germany,Mobile,1
10119,AutoParts,22.9,Germany,Mobile,0
10120,BookHive,100.81,Germany,Mobile,0
10121,GourmetEats,215.98,Germany,Desktop,1
10122,BookHive,458.7,USA,Mobile,0
10123,AutoParts,479.03,Australia,Desktop,0
10124,GourmetEats,97.68,USA,Tablet,0
10125,GourmetEats,322.36,Canada,Desktop,0
10126,BookHive,384.05,UK,Tablet,0
10127,FashionGo,92.48,USA,Desktop,1
10128,TechWorld,409.88,Germany,Tablet,1
10129,AutoParts,455.23,Germany,Tablet,0
10130,GourmetEats,427.36,Brazil,Mobile,0
10131,BookHive,221.81,UK,Desktop,0
10132,GourmetEats,382.81,UK,Tablet,0
10133,AutoParts,152.29,Australia,Desktop,0
10134,BookHive,364.04,UK,Mobile,1
10135,TechWorld,337.21,Australia,Tablet,1
10136,GourmetEats,97.42,Germany,Tablet,0
10137,BookHive,161.43,UK,Mobile,1
10138,TechWorld,249.71,Germany,Mobile,0
10139,GourmetEats,10.01,Brazil,Desktop,0
10140,FashionGo,297.17,Brazil,Desktop,0
10141,AutoParts,429.25,Brazil,Tablet,1
10142,AutoParts,12.5,USA,Desktop,1
10143,TechWorld,202.56,Australia,Desktop,0
10144,TechWorld,60.77,UK,Desktop,0
10145,FashionGo,450.2,Germany,Desktop,0
10146,GourmetEats,187.11,Brazil,Desktop,0
10147,FashionGo,160.45,USA,Desktop,0
10148,FashionGo,423.92,Australia,Mobile,0
10149,FashionGo,451.39,UK,Tablet,0
10150,BookHive,245.98,UK,Desktop,1
10151,BookHive,401.31,Canada,Desktop,0
10152,FashionGo,39.94,USA,Mobile,0
10153,BookHive,103.65,Brazil,Desktop,1
10154,GourmetEats,244.58,UK,Tablet,1
10155,BookHive,251.95,Canada,Mobile,1
10156,GourmetEats,193.71,Canada,Mobile,1
10157,AutoParts,216.83,Canada,Mobile,1
10158,TechWorld,300.81,Brazil,Desktop,0
10159,AutoParts,273.48,Canada,Desktop,1
10160,BookHive,309.77,Canada,Mobile,0
10161,GourmetEats,166.16,Australia,Mobile,0
10162,FashionGo,489.33,Germany,Mobile,0
10163,TechWorld,60.18,Germany,Tablet,1
10164,BookHive,322.76,Brazil,Tablet,0
10165,TechWorld,89.68,Brazil,Mobile,0
10166,BookHive,445.8,Australia,Desktop,0
10167,AutoParts,439.9,UK,Mobile,1
10168,FashionGo,487.54,USA,Tablet,0
10169,BookHive,492.14,UK,Mobile,0
10170,TechWorld,429.0,Brazil,Tablet,0
10171,TechWorld,208.81,Germany,Tablet,0
10172,FashionGo,210.88,UK,Tablet,0
10173,FashionGo,469.17,UK,Desktop,1
10174,FashionGo,283.11,Germany,Mobile,0
10175,TechWorld,338.16,Brazil,Mobile,0
10176,TechWorld,399.35,Brazil,Tablet,1
10177,AutoParts,233.63,UK,Tablet,0
10178,FashionGo,382.61,Australia,Desktop,1
10179,TechWorld,293.24,Australia,Desktop,0
10180,TechWorld,215.18,Australia,Desktop,0
10181,BookHive,86.71,Germany,Mobile,0
10182,BookHive,422.8,Australia,Desktop,1
10183,BookHive,31.02,Canada,Mobile,0
10184,FashionGo,142.86,UK,Tablet,0
10185,FashionGo,241.01,Australia,Tablet,0
10186,FashionGo,236.3,Australia,Mobile,1
10187,GourmetEats,477.46,Canada,Tablet,0
10188,FashionGo,315.93,Australia,Mobile,1
10189,GourmetEats,293.11,Canada,Desktop,1
10190,AutoParts,286.99,Germany,Mobile,0
10191,TechWorld,459.39,Australia,Tablet,1
10192,AutoParts,396.36,Australia,Tablet,0
10193,BookHive,240.88,USA,Tablet,1
10194,TechWorld,149.48,Australia,Tablet,1
10195,TechWorld,143.9,Australia,Mobile,1
10196,TechWorld,100.31,Canada,Mobile,0
10197,AutoParts,167.23,Brazil,Tablet,0
10198,TechWorld,110.14,Brazil,Desktop,1
10199,GourmetEats,295.83,USA,Tablet,0
10200,GourmetEats,41.43,Germany,Desktop,1
10201,BookHive,68.26,Germany,Tablet,0
10202,BookHive,61.68,Germany,Desktop,0
10203,AutoParts,417.0,Australia,Desktop,1
10204,BookHive,243.97,UK,Tablet,0
10205,BookHive,273.98,Brazil,Desktop,0
10206,TechWorld,425.35,Australia,Tablet,1
10207,AutoParts,283.56,USA,Mobile,0
10208,TechWorld,241.1,Canada,Desktop,0
10209,GourmetEats,223.22,Brazil,Tablet,1
10210,GourmetEats,7.77,USA,Tablet,0
10211,FashionGo,160.18,Germany,Mobile,1
10212,AutoParts,298.48,UK,Tablet,1
10213,BookHive,403.7,Germany,Tablet,0
10214,AutoParts,457.85,Germany,Tablet,0
10215,FashionGo,302.68,Canada,Mobile,1
10216,FashionGo,393.53,UK,Mobile,0
10217,GourmetEats,110.77,Germany,Desktop,1
10218,BookHive,356.63,USA,Mobile,1
10219,GourmetEats,424.58,Australia,Desktop,0
10220,FashionGo,365.77,Canada,Desktop,0
10221,GourmetEats,471.9,UK,Tablet,0
10222,TechWorld,73.69,Australia,Tablet,1
10223,GourmetEats,17.32,USA,Desktop,0
10224,AutoParts,429.85,Australia,Mobile,0
10225,GourmetEats,239.32,UK,Desktop,1
10226,TechWorld,262.7,Germany,Mobile,1
10227,TechWorld,345.24,Germany,Mobile,1
10228,AutoParts,285.63,Australia,Mobile,1
10229,FashionGo,27.89,Germany,Mobile,1
10230,TechWorld,379.9,UK,Mobile,1
10231,GourmetEats,37.89,UK,Tablet,0
10232,TechWorld,397.47,Australia,Desktop,0
10233,AutoParts,35.34,USA,Mobile,1
10234,BookHive,242.15,Australia,Tablet,1
10235,AutoParts,203.4,UK,Tablet,1
10236,AutoParts,354.6,Brazil,Desktop,0
10237,TechWorld,391.55,Canada,Mobile,0
10238,GourmetEats,424.38,Germany,Tablet,1
10239,GourmetEats,132.62,Canada,Tablet,0
10240,BookHive,361.96,Canada,Mobile,1
10241,TechWorld,178.4,Canada,Mobile,1
10242,FashionGo,379.7,Canada,Tablet,0
10243,AutoParts,217.6,Germany,Mobile,1
10244,FashionGo,434.85,UK,Tablet,0
10245,TechWorld,421.85,Germany,Mobile,0
10246,TechWorld,203.19,Canada,Mobile,1
10247,BookHive,44.6,Canada,Desktop,0
10248,FashionGo,112.96,Germany,Tablet,1
10249,BookHive,215.74,Brazil,Tablet,0
10250,GourmetEats,437.27,Germany,Mobile,1
10251,TechWorld,357.95,Australia,Desktop,1
10252,FashionGo,41.13,Canada,Mobile,0
10253,FashionGo,194.39,USA,Desktop,0
10254,AutoParts,487.62,Australia,Mobile,0
10255,BookHive,342.5,Canada,Desktop,0
10256,GourmetEats,92.45,Australia,Tablet,0
10257,FashionGo,284.52,Australia,Tablet,0
10258,FashionGo,378.12,USA,Mobile,1
10259,AutoParts,90.85,Germany,Desktop,0
10260,BookHive,334.19,Germany,Mobile,1
10261,AutoParts,95.9,Brazil,Desktop,0
10262,BookHive,286.07,USA,Desktop,1
10263,GourmetEats,197.23,USA,Desktop,0
10264,BookHive,266.88,Brazil,Desktop,1
10265,FashionGo,246.58,Canada,Tablet,0
10266,FashionGo,187.26,UK,Tablet,1
10267,BookHive,331.0,Canada,Tablet,0
10268,FashionGo,148.31,Germany,Tablet,1
10269,BookHive,280.67,Canada,Desktop,0
10270,FashionGo,49.25,Brazil,Desktop,1
10271,BookHive,339.95,Germany,Tablet,1
10272,GourmetEats,123.54,Canada,Mobile,1
10273,AutoParts,247.15,USA,Mobile,0
10274,FashionGo,116.62,UK,Tablet,1
10275,GourmetEats,396.75,UK,Mobile,1
10276,AutoParts,333.1,USA,Desktop,0
10277,BookHive,315.06,Canada,Desktop,0
10278,GourmetEats,312.49,Australia,Tablet,0
10279,FashionGo,237.66,USA,Tablet,1
10280,TechWorld,24.94,USA,Mobile,0
10281,AutoParts,96.77,USA,Tablet,1
10282,TechWorld,149.67,UK,Tablet,1
10283,TechWorld,227.35,Australia,Mobile,1
10284,FashionGo,149.32,USA,Tablet,1
10285,GourmetEats,320.56,USA,Tablet,1
10286,BookHive,192.07,Germany,Tablet,0
10287,AutoParts,428.42,Australia,Tablet,1
10288,AutoParts,230.7,Australia,Mobile,1
10289,BookHive,393.56,Canada,Desktop,0
10290,BookHive,51.66,USA,Desktop,1
10291,GourmetEats,437.68,UK,Mobile,0
10292,GourmetEats,466.06,Germany,Tablet,1
10293,FashionGo,110.61,USA,Desktop,1
10294,AutoParts,413.04,Brazil,Mobile,0
10295,AutoParts,150.36,Canada,Mobile,0
10296,TechWorld,145.84,UK,Desktop,0
10297,BookHive,188.61,USA,Tablet,1
10298,AutoParts,195.17,UK,Desktop,1
10299,TechWorld,219.15,Canada,Mobile,0
10300,AutoParts,106.21,Germany,Desktop,0
10301,BookHive,313.52,USA,Mobile,0
10302,BookHive,411.66,Australia,Desktop,1
10303,AutoParts,255.93,USA,Mobile,1
10304,GourmetEats,157.46,UK,Mobile,0
10305,AutoParts,53.95,UK,Tablet,1
10306,BookHive,418.24,Brazil,Desktop,0
10307,AutoParts,322.52,Canada,Mobile,1
10308,GourmetEats,344.26,Germany,Mobile,1
10309,FashionGo,91.15,Brazil,Desktop,0
10310,TechWorld,355.97,Australia,Desktop,1
10311,FashionGo,281.67,Germany,Mobile,1
10312,GourmetEats,381.52,Germany,Mobile,0
10313,AutoParts,338.46,USA,Mobile,1
10314,FashionGo,123.43,Australia,Tablet,0
10315,GourmetEats,462.69,USA,Mobile,0
10316,TechWorld,414.36,USA,Mobile,0
10317,GourmetEats,431.02,Brazil,Desktop,0
10318,TechWorld,361.79,Canada,Desktop,1
10319,FashionGo,118.41,UK,Tablet,1
10320,BookHive,313.5,Germany,Desktop,1
10321,BookHive,46.86,Germany,Tablet,0
10322,TechWorld,77.07,USA,Tablet,1
10323,BookHive,317.75,Brazil,Desktop,1
10324,FashionGo,181.48,Australia,Tablet,0
10325,FashionGo,293.97,UK,Desktop,0
10326,AutoParts,129.33,Germany,Desktop,0
10327,BookHive,318.58,Australia,Tablet,1
10328,FashionGo,46.8,Brazil,Desktop,0
10329,GourmetEats,255.03,Brazil,Desktop,1
10330,BookHive,108.02,Australia,Tablet,1
10331,FashionGo,128.37,Australia,Tablet,0
10332,TechWorld,498.38,USA,Mobile,1
10333,TechWorld,56.6,Brazil,Mobile,1
10334,GourmetEats,70.71,Germany,Desktop,0
10335,FashionGo,388.7,Brazil,Tablet,1
10336,AutoParts,495.04,Canada,Mobile,0
10337,AutoParts,221.46,Brazil,Tablet,0
10338,BookHive,309.29,UK,Tablet,1
10339,GourmetEats,376.44,Australia,Desktop,0
10340,GourmetEats,499.93,USA,Tablet,0
10341,AutoParts,234.49,Australia,Desktop,0
10342,AutoParts,366.61,Australia,Desktop,0
10343,GourmetEats,217.28,Canada,Tablet,0
10344,TechWorld,289.72,USA,Mobile,0
10345,BookHive,233.76,UK,Desktop,1
10346,AutoParts,440.11,Brazil,Desktop,0
10347,BookHive,267.78,Germany,Desktop,1
10348,FashionGo,154.25,USA,Mobile,1
10349,TechWorld,179.39,Australia,Mobile,1
10350,GourmetEats,462.22,Canada,Tablet,0
10351,BookHive,187.75,Brazil,Mobile,1
10352,BookHive,260.56,Canada,Tablet,0
10353,AutoParts,264.51,USA,Mobile,1
10354,GourmetEats,332.04,Germany,Mobile,1
10355,AutoParts,120.16,Germany,Mobile,1
10356,BookHive,489.16,Germany,Tablet,0
10357,AutoParts,406.37,Australia,Desktop,0
10358,AutoParts,88.61,UK,Desktop,0
10359,AutoParts,210.04,Canada,Mobile,0
10360,BookHive,201.25,Germany,Desktop,0
10361,TechWorld,340.73,UK,Desktop,0
10362,BookHive,380.05,UK,Mobile,1
10363,AutoParts,197.69,USA,Mobile,1
10364,BookHive,215.28,UK,Desktop,1
10365,GourmetEats,233.75,UK,Desktop,1
10366,TechWorld,298.97,Canada,Desktop,1
10367,TechWorld,18.92,Canada,Mobile,0
10368,FashionGo,106.03,USA,Mobile,1
10369,TechWorld,11.73,USA,Mobile,0
10370,BookHive,101.72,Australia,Tablet,1
10371,GourmetEats,426.18,UK,Tablet,0
10372,TechWorld,399.05,Australia,Tablet,0
10373,FashionGo,337.38,Australia,Tablet,0
10374,BookHive,58.14,Brazil,Tablet,0
10375,AutoParts,375.88,Australia,Mobile,0
10376,FashionGo,333.66,USA,Mobile,0
10377,BookHive,272.42,UK,Desktop,1
10378,GourmetEats,342.42,Germany,Mobile,0
10379,TechWorld,443.06,UK,Mobile,0
10380,TechWorld,498.22,UK,Desktop,1
10381,AutoParts,251.62,USA,Mobile,1
10382,FashionGo,373.07,UK,Tablet,1
10383,GourmetEats,450.61,Brazil,Tablet,1
10384,TechWorld,353.49,Brazil,Mobile,1
10385,AutoParts,183.66,Germany,Mobile,0
10386,AutoParts,462.33,UK,Mobile,0
10387,GourmetEats,67.34,Canada,Tablet,0
10388,GourmetEats,375.89,Canada,Mobile,0
10389,TechWorld,416.25,Brazil,Desktop,0
10390,FashionGo,344.42,Brazil,Desktop,0
10391,GourmetEats,176.61,Brazil,Mobile,1
10392,FashionGo,311.17,Brazil,Mobile,1
10393,FashionGo,155.33,Brazil,Desktop,1
10394,AutoParts,354.32,UK,Tablet,0
10395,FashionGo,221.71,Australia,Tablet,0
10396,GourmetEats,421.88,Australia,Tablet,0
10397,GourmetEats,47.79,Germany,Desktop,1
10398,TechWorld,333.32,USA,Desktop,1
10399,GourmetEats,372.92,UK,Desktop,1
10400,GourmetEats,68.33,Australia,Mobile,0
10401,BookHive,106.23,UK,Desktop,0
10402,GourmetEats,249.58,Brazil,Tablet,0
10403,GourmetEats,484.49,UK,Mobile,1
10404,FashionGo,356.24,Germany,Desktop,1
10405,FashionGo,410.45,Brazil,Mobile,1
10406,BookHive,216.85,Brazil,Desktop,1
10407,FashionGo,108.23,UK,Desktop,1
10408,AutoParts,222.04,USA,Tablet,1
10409,GourmetEats,214.2,Australia,Desktop,1
10410,AutoParts,397.61,Australia,Tablet,0
10411,AutoParts,94.0,Germany,Tablet,0
10412,FashionGo,154.04,Canada,Tablet,1
10413,TechWorld,261.43,Australia,Desktop,1
10414,GourmetEats,157.55,Canada,Desktop,1
10415,FashionGo,327.02,Australia,Mobile,0
10416,BookHive,110.36,USA,Tablet,0
10417,FashionGo,345.34,UK,Desktop,0
10418,AutoParts,139.54,Canada,Mobile,1
10419,TechWorld,263.37,Australia,Mobile,1
10420,TechWorld,451.52,Brazil,Desktop,1
10421,GourmetEats,7.28,Canada,Mobile,1
10422,FashionGo,25.2,Canada,Mobile,0
10423,FashionGo,128.23,UK,Tablet,0
10424,BookHive,60.33,Germany,Desktop,1
10425,BookHive,94.04,Brazil,Desktop,0
10426,BookHive,279.35,UK,Desktop,1
10427,AutoParts,379.15,Germany,Tablet,0
10428,FashionGo,290.49,Australia,Tablet,0
10429,AutoParts,97.19,Canada,Desktop,0
10430,FashionGo,213.77,Australia,Tablet,0
10431,BookHive,286.76,Germany,Tablet,1
10432,TechWorld,19.5,Germany,Mobile,1
10433,TechWorld,43.8,Brazil,Desktop,1
10434,FashionGo,36.0,USA,Desktop,0
10435,GourmetEats,169.55,USA,Tablet,0
10436,FashionGo,177.91,Germany,Mobile,0
10437,FashionGo,480.18,Australia,Desktop,0
10438,AutoParts,468.39,Australia,Tablet,0
10439,TechWorld,304.98,Brazil,Tablet,0
10440,BookHive,419.43,Australia,Desktop,0
10441,TechWorld,443.78,Canada,Tablet,0
10442,BookHive,252.08,Germany,Mobile,1
10443,FashionGo,286.01,Germany,Mobile,0
10444,GourmetEats,330.25,Brazil,Mobile,1
10445,GourmetEats,183.59,Brazil,Mobile,1
10446,BookHive,380.97,Australia,Tablet,0
10447,FashionGo,499.24,Australia,Desktop,0
10448,BookHive,282.66,USA,Tablet,1
10449,TechWorld,130.31,USA,Desktop,1
10450,TechWorld,17.18,Australia,Tablet,0
10451,AutoParts,97.68,Germany,Tablet,0
10452,BookHive,87.88,Brazil,Tablet,1
10453,AutoParts,343.81,Germany,Tablet,1
10454,GourmetEats,37.92,Germany,Tablet,1
10455,TechWorld,448.65,Australia,Tablet,1
10456,FashionGo,315.28,Brazil,Desktop,1
10457,FashionGo,260.47,UK,Tablet,0
10458,AutoParts,351.67,Canada,Tablet,0
10459,AutoParts,104.75,UK,Mobile,1
10460,BookHive,487.84,Canada,Mobile,1
10461,TechWorld,265.8,Australia,Tablet,1
10462,FashionGo,158.8,UK,Tablet,1
10463,FashionGo,441.47,Australia,Tablet,1
10464,TechWorld,290.28,Germany,Tablet,0
10465,BookHive,154.43,USA,Tablet,0
10466,BookHive,196.86,UK,Tablet,1
10467,GourmetEats,398.22,Australia,Tablet,0
10468,BookHive,424.85,Germany,Desktop,1
10469,TechWorld,101.09,USA,Mobile,1
10470,GourmetEats,65.95,Brazil,Tablet,1
10471,BookHive,39.26,USA,Tablet,1
10472,TechWorld,55.65,Germany,Tablet,1
10473,GourmetEats,246.83,Germany,Mobile,1
10474,GourmetEats,143.4,Brazil,Desktop,0
10475,FashionGo,74.68,Canada,Desktop,0
10476,TechWorld,475.72,Germany,Tablet,0
10477,GourmetEats,430.14,Canada,Mobile,0
10478,BookHive,454.95,Brazil,Mobile,1
10479,BookHive,145.98,Australia,Mobile,0
10480,BookHive,337.72,Germany,Mobile,0
10481,AutoParts,402.11,UK,Tablet,1
10482,AutoParts,13.45,USA,Tablet,0
10483,GourmetEats,454.62,UK,Desktop,1
10484,BookHive,32.82,Germany,Desktop,0
10485,FashionGo,119.19,Canada,Mobile,0
10486,BookHive,360.98,Brazil,Desktop,1
10487,AutoParts,331.36,USA,Mobile,0
10488,GourmetEats,228.94,UK,Mobile,0
10489,BookHive,233.54,UK,Mobile,0
10490,AutoParts,304.0,Canada,Tablet,0
10491,GourmetEats,390.66,Germany,Tablet,1
10492,TechWorld,400.92,Canada,Tablet,0
10493,BookHive,309.5,UK,Tablet,1
10494,BookHive,379.63,Brazil,Tablet,1
10495,BookHive,182.36,UK,Mobile,0
10496,AutoParts,30.72,UK,Mobile,1
10497,BookHive,405.65,Australia,Tablet,1
10498,AutoParts,119.38,Germany,Mobile,0
10499,AutoParts,486.06,Canada,Desktop,1
10500,BookHive,144.94,Germany,Tablet,0
10501,FashionGo,250.44,Australia,Mobile,1
10502,BookHive,431.18,UK,Desktop,1
10503,AutoParts,145.53,Canada,Mobile,1
10504,BookHive,253.84,Australia,Desktop,0
10505,TechWorld,181.53,USA,Desktop,0
10506,TechWorld,128.42,Canada,Desktop,1
10507,AutoParts,162.29,Germany,Mobile,0
10508,GourmetEats,96.33,UK,Tablet,1
10509,GourmetEats,331.45,Canada,Desktop,1
10510,BookHive,390.77,UK,Desktop,1
10511,AutoParts,83.24,Germany,Tablet,1
10512,BookHive,300.67,Canada,Mobile,1
10513,FashionGo,281.48,USA,Desktop,1
10514,TechWorld,269.0,Canada,Desktop,1
10515,GourmetEats,432.84,Australia,Tablet,1
10516,FashionGo,233.31,Germany,Tablet,1
10517,FashionGo,252.19,UK,Tablet,1
10518,FashionGo,341.42,Australia,Mobile,0
10519,TechWorld,219.8,USA,Desktop,0
10520,FashionGo,93.8,USA,Mobile,0
10521,TechWorld,212.03,Germany,Mobile,0
10522,TechWorld,215.79,Australia,Desktop,1
10523,GourmetEats,132.72,Germany,Mobile,1
10524,BookHive,51.07,Germany,Mobile,1
10525,AutoParts,352.74,UK,Tablet,0
10526,GourmetEats,251.8,USA,Desktop,1
10527,FashionGo,367.5,USA,Tablet,1
10528,GourmetEats,220.77,Germany,Desktop,0
10529,FashionGo,413.75,Canada,Mobile,0
10530,FashionGo,75.33,Germany,Tablet,0
10531,FashionGo,24.44,Australia,Tablet,0
10532,BookHive,92.23,USA,Desktop,0
10533,FashionGo,350.72,Australia,Tablet,0
10534,FashionGo,296.59,USA,Tablet,0
10535,GourmetEats,492.28,USA,Desktop,1
10536,TechWorld,176.91,Germany,Tablet,0
10537,TechWorld,455.23,UK,Tablet,1
10538,BookHive,159.53,Brazil,Mobile,0
10539,AutoParts,193.48,Australia,Tablet,1
10540,FashionGo,125.96,USA,Mobile,0
10541,AutoParts,60.33,Canada,Desktop,0
10542,FashionGo,376.85,USA,Mobile,0
10543,AutoParts,209.6,Australia,Desktop,1
10544,AutoParts,89.99,USA,Tablet,1
10545,TechWorld,15.36,Germany,Desktop,0
10546,FashionGo,231.28,Canada,Mobile,1
10547,GourmetEats,232.42,Canada,Mobile,1
10548,BookHive,71.3,Brazil,Desktop,1
10549,BookHive,338.17,USA,Mobile,1
10550,BookHive,257.84,Germany,Desktop,0
10551,GourmetEats,146.78,Canada,Tablet,0
10552,BookHive,390.04,Germany,Tablet,1
10553,BookHive,323.66,USA,Mobile,1
10554,TechWorld,313.28,Canada,Mobile,0
10555,BookHive,121.48,Brazil,Mobile,0
10556,GourmetEats,29.16,UK,Desktop,0
10557,GourmetEats,250.31,Germany,Tablet,1
10558,FashionGo,205.67,Germany,Mobile,1
10559,TechWorld,216.75,UK,Tablet,0
10560,TechWorld,178.86,Germany,Mobile,0
10561,FashionGo,334.84,Brazil,Mobile,0
10562,FashionGo,409.86,Brazil,Mobile,1
10563,BookHive,84.78,USA,Mobile,1
10564,AutoParts,371.99,UK,Desktop,1
10565,GourmetEats,150.03,Brazil,Tablet,1
10566,AutoParts,165.04,Germany,Tablet,0
10567,FashionGo,298.52,USA,Mobile,1
10568,FashionGo,400.17,Canada,Desktop,0
10569,AutoParts,474.22,Canada,Mobile,0
10570,TechWorld,481.46,USA,Desktop,1
10571,AutoParts,307.85,Germany,Desktop,1
10572,GourmetEats,42.84,UK,Desktop,0
10573,BookHive,182.05,Brazil,Desktop,1
10574,TechWorld,234.08,Australia,Tablet,0
10575,TechWorld,131.11,Canada,Tablet,1
10576,FashionGo,60.16,Australia,Desktop,1
10577,FashionGo,332.26,UK,Tablet,0
10578,AutoParts,48.51,Brazil,Desktop,1
10579,FashionGo,73.44,Brazil,Mobile,0
10580,AutoParts,94.01,Canada,Mobile,1
10581,GourmetEats,89.57,Australia,Tablet,0
10582,GourmetEats,95.6,USA,Mobile,0
10583,AutoParts,272.88,Canada,Tablet,0
10584,BookHive,219.64,Brazil,Mobile,0
10585,FashionGo,426.19,USA,Mobile,1
10586,GourmetEats,291.55,Canada,Desktop,1
10587,FashionGo,40.89,Brazil,Tablet,0
